837,955,4.0,-1
3516,1894,3.5,-1
5161,809,4.5,-1
4057,22,3.0,-1
4864,453,4.5,-1
2870,194,5.0,-1
942,275,2.0,-1
1301,558,3.5,-1
2803,604,4.0,-1
1837,275,1.0,-1
4298,153,3.5,-1
4280,9741,3.5,-1
5544,9802,4.0,-1
1623,453,4.0,-1
5323,77,4.0,-1
5188,2501,5.0,-1
3434,12,4.0,-1
2800,278,4.0,-1
2104,745,4.0,-1
415,604,4.0,-1
3842,114,4.0,-1
3658,558,4.0,-1
896,672,0.5,-1
4251,187,4.5,-1
2660,462,2.0,-1
3953,453,3.5,-1
1272,155,5.0,-1
2680,672,4.5,-1
1838,13,5.0,-1
1623,22,4.0,-1
1055,24,3.0,-1
4897,36955,4.0,-1
2641,280,5.0,-1
3172,745,4.0,-1
4418,955,2.0,-1
1628,602,3.0,-1
2664,180,5.0,-1
5034,146,5.0,-1
5494,107,5.0,-1
4795,120,4.5,-1
5063,671,3.5,-1
4748,1894,2.0,-1
2286,2501,3.5,-1
770,24,5.0,-1
4839,1597,3.0,-1
3526,812,3.0,-1
453,36658,3.5,-1
2671,12,4.0,-1
3165,664,3.0,-1
23,581,3.5,-1
2452,854,3.0,-1
2230,36955,2.5,-1
1657,581,2.0,-1
4269,862,5.0,-1
2990,98,4.0,-1
451,272,4.5,-1
4566,8467,3.0,-1
701,854,3.5,-1
1685,1891,2.5,-1
4322,5503,4.0,-1
2787,857,4.0,-1
4196,278,4.0,-1
3830,272,5.0,-1
2251,238,5.0,-1
790,12,3.0,-1
3705,602,2.0,-1
346,63,3.0,-1
410,585,4.0,-1
4621,8358,4.0,-1
3525,9331,3.5,-1
1282,3049,4.0,-1
1680,597,3.5,-1
5078,603,5.0,-1
3583,1422,5.0,-1
5166,243,2.5,-1
488,161,5.0,-1
4915,105,5.0,-1
2917,954,2.5,-1
1831,85,3.5,-1
3216,2501,3.0,-1
2987,7443,2.5,-1
1476,602,4.0,-1
5487,153,3.0,-1
2420,1892,5.0,-1
1600,155,4.5,-1
4033,8358,4.0,-1
4423,585,3.5,-1
24,194,3.5,-1
3519,11,5.0,-1
3948,603,4.0,-1
3734,98,5.0,-1
181,854,4.0,-1
3993,2164,3.0,-1
4906,268,3.5,-1
1214,1597,3.5,-1
1857,161,4.0,-1
4325,2501,3.5,-1
594,155,2.5,-1
4603,11,4.5,-1
1368,180,4.0,-1
3320,629,3.5,-1
4004,1900,5.0,-1
5462,9331,3.5,-1
213,4327,3.5,-1
4540,38,0.5,-1
2088,1597,3.0,-1
1952,680,5.0,-1
2888,122,1.5,-1
634,278,4.5,-1
2221,558,5.0,-1
1174,1892,4.0,-1
1709,603,5.0,-1
4054,585,4.0,-1
2469,9806,3.5,-1
4876,954,4.0,-1
5037,558,3.5,-1
3960,272,3.5,-1
689,603,5.0,-1
707,329,5.0,-1
4096,601,3.5,-1
1756,550,5.0,-1
863,146,5.0,-1
3173,268,4.0,-1
513,114,1.0,-1
5446,114,4.5,-1
1374,4327,3.5,-1
3535,280,3.0,-1
3622,581,3.5,-1
3214,24,4.0,-1
2195,808,3.0,-1
1102,1891,4.5,-1
1262,280,5.0,-1
3493,9806,5.0,-1
3569,7443,4.0,-1
2463,2501,3.5,-1
5337,788,1.0,-1
1808,197,3.5,-1
4027,107,4.0,-1
5097,280,4.0,-1
5152,22,4.0,-1
2765,105,5.0,-1
1303,424,4.5,-1
4599,1892,3.5,-1
4586,10020,4.0,-1
4560,63,5.0,-1
568,809,0.5,-1
5266,808,4.0,-1
2473,568,4.0,-1
1660,954,2.5,-1
3796,13,5.0,-1
4457,9331,3.0,-1
4938,550,4.0,-1
2034,10020,4.0,-1
2331,22,3.0,-1
4158,14,4.0,-1
4671,122,5.0,-1
4782,134,3.0,-1
4718,197,4.5,-1
5416,550,4.0,-1
2462,2502,5.0,-1
5532,641,5.0,-1
5334,134,3.0,-1
1672,812,3.5,-1
59,36658,4.5,-1
3354,10020,5.0,-1
314,1597,3.0,-1
441,1597,3.0,-1
4010,453,4.5,-1
143,38,4.0,-1
1075,585,3.5,-1
3238,808,4.0,-1
3244,597,4.5,-1
3432,155,4.0,-1
5502,268,4.0,-1
4646,862,4.5,-1
5413,601,5.0,-1
2117,272,4.0,-1
2153,275,2.5,-1
2969,8358,2.0,-1
3641,585,4.0,-1
5573,11,3.0,-1
2338,857,4.0,-1
4760,1891,4.5,-1
3769,1891,4.0,-1
1206,2501,3.5,-1
2909,808,5.0,-1
18,146,5.0,-1
2807,3049,3.0,-1
963,557,3.0,-1
2071,607,3.0,-1
811,98,4.0,-1
5406,414,0.5,-1
4412,7443,3.5,-1
5117,280,3.5,-1
4072,24,4.0,-1
4888,134,3.5,-1
4123,275,5.0,-1
4245,280,3.5,-1
3614,424,3.5,-1
581,854,3.0,-1
3708,9741,2.5,-1
50,862,2.0,-1
5477,14,4.0,-1
1103,857,4.0,-1
1145,4327,3.0,-1
432,557,4.5,-1
5449,462,4.0,-1
3352,197,3.0,-1
2394,2024,3.0,-1
2852,607,3.5,-1
224,105,5.0,-1
5397,12,4.5,-1
2110,808,4.0,-1
1097,11,4.5,-1
5509,854,3.0,-1
1847,120,4.0,-1
2003,1894,2.5,-1
1680,955,3.5,-1
3042,98,5.0,-1
2199,1637,1.5,-1
4167,114,3.0,-1
1521,14,5.0,-1
675,272,4.0,-1
702,13,5.0,-1
2970,664,4.0,-1
464,77,4.5,-1
292,36657,5.0,-1
5210,597,3.5,-1
1412,602,2.0,-1
4754,640,4.0,-1
4983,558,3.5,-1
4559,602,4.5,-1
912,604,2.5,-1
4186,329,2.5,-1
3220,393,4.5,-1
2104,13,4.5,-1
2392,954,5.0,-1
2412,4327,3.0,-1
3096,11,5.0,-1
4554,808,5.0,-1
3963,788,4.5,-1
2577,1900,4.0,-1
259,187,1.0,-1
4137,745,5.0,-1
3460,194,4.5,-1
356,120,5.0,-1
4627,557,3.0,-1
3762,807,3.5,-1
4152,278,5.0,-1
3246,862,4.5,-1
3527,13,4.5,-1
111,98,5.0,-1
4264,12,3.0,-1
1048,857,3.5,-1
1583,557,3.0,-1
4909,581,3.0,-1
1531,1891,4.0,-1
2954,393,5.0,-1
2901,274,2.5,-1
301,1892,3.5,-1
894,557,2.5,-1
717,153,3.0,-1
2365,453,5.0,-1
3169,671,5.0,-1
3446,752,4.5,-1
4327,121,2.0,-1
835,9806,4.0,-1
4482,161,2.5,-1
4490,581,1.0,-1
2277,597,1.0,-1
5139,603,4.0,-1
392,161,4.0,-1
49,268,3.0,-1
4399,1572,3.0,-1
3202,77,4.0,-1
2989,414,4.0,-1
3440,604,4.5,-1
1224,12,3.5,-1
686,601,3.0,-1
4846,453,3.5,-1
3401,12,2.5,-1
3874,1422,4.0,-1
2616,7443,3.5,-1
1258,2502,5.0,-1
4878,36658,4.0,-1
5095,640,4.0,-1
1052,5503,4.5,-1
814,280,2.5,-1
2964,11,3.0,-1
729,2501,3.0,-1
4694,597,2.5,-1
2589,12,4.0,-1
434,557,4.0,-1
2855,807,5.0,-1
199,134,4.5,-1
5432,8587,3.0,-1
5332,238,2.5,-1
3020,1891,4.5,-1
570,146,3.5,-1
5138,36658,3.0,-1
3584,153,3.0,-1
5012,280,5.0,-1
4484,671,5.0,-1
5424,8358,4.0,-1
4576,809,3.5,-1
2166,604,4.0,-1
3964,13,5.0,-1
456,122,4.5,-1
1778,2501,5.0,-1
1745,602,2.5,-1
3339,180,4.0,-1
3071,12,3.0,-1
779,807,3.5,-1
3404,8358,2.0,-1
2170,955,3.5,-1
3340,114,3.0,-1
4152,98,5.0,-1
684,1894,0.5,-1
973,197,5.0,-1
3320,862,5.0,-1
4656,2502,4.0,-1
3090,1892,3.5,-1
5215,857,3.0,-1
5378,607,4.0,-1
2870,1894,3.0,-1
2101,197,2.0,-1
724,238,3.0,-1
3676,808,3.5,-1
3923,558,4.5,-1
3573,161,2.5,-1
3646,462,3.5,-1
3592,274,3.0,-1
5418,36955,2.5,-1
415,36955,3.0,-1
20,607,4.0,-1
1052,581,5.0,-1
1,602,4.5,-1
3443,752,2.5,-1
1909,134,2.5,-1
4,807,5.0,-1
3417,238,4.5,-1
3953,272,3.5,-1
1076,180,4.5,-1
4074,8467,5.0,-1
5364,603,5.0,-1
871,1892,4.0,-1
5178,9331,3.0,-1
2312,585,4.5,-1
4683,1894,4.0,-1
345,36657,4.5,-1
1152,120,3.0,-1
1297,604,2.0,-1
4577,8358,5.0,-1
1176,954,3.5,-1
1952,597,4.5,-1
4866,393,3.0,-1
682,424,5.0,-1
1640,462,3.5,-1
4845,114,4.0,-1
5569,122,4.0,-1
1797,788,5.0,-1
1222,862,4.0,-1
3479,601,1.5,-1
4363,745,5.0,-1
4415,597,4.5,-1
4652,9741,3.5,-1
2190,120,4.0,-1
3477,8587,4.5,-1
2325,568,3.0,-1
4099,2164,5.0,-1
1565,77,4.5,-1
5022,268,5.0,-1
710,607,4.0,-1
3848,38,4.5,-1
5361,38,1.0,-1
1958,146,3.5,-1
1323,954,4.5,-1
1850,329,4.0,-1
1209,3049,5.0,-1
3551,22,4.0,-1
3754,24,5.0,-1
1933,752,3.5,-1
4343,462,4.5,-1
5392,24,4.5,-1
4159,122,4.5,-1
399,602,4.0,-1
2269,602,4.0,-1
4647,134,3.5,-1
1597,197,4.5,-1
1581,808,4.0,-1
5449,1892,4.0,-1
2233,597,3.5,-1
4764,122,3.5,-1
1834,597,0.5,-1
3964,601,5.0,-1
1712,280,2.5,-1
1154,120,5.0,-1
